# Residuals   
# Time        	p             	Ux            	Uy            	T             
222           	1.613578e-01	2.676536e-02	4.667280e-02	9.061746e-01
223           	1.647799e-01	2.702762e-02	4.692170e-02	9.061767e-01
224           	1.672434e-01	2.715119e-02	4.703819e-02	9.061786e-01
225           	1.692062e-01	2.726639e-02	4.702265e-02	9.061807e-01
226           	1.696767e-01	2.734361e-02	4.701164e-02	9.061827e-01
227           	1.663554e-01	2.733602e-02	4.702106e-02	9.061847e-01
228           	1.657984e-01	2.745529e-02	4.719667e-02	9.061865e-01
229           	1.617652e-01	2.756720e-02	4.743866e-02	9.061884e-01
230           	1.586395e-01	2.765169e-02	4.767987e-02	9.061903e-01
231           	1.579892e-01	2.770116e-02	4.777257e-02	9.061921e-01
232           	1.556818e-01	2.778435e-02	4.793134e-02	9.061938e-01
233           	1.584518e-01	2.785619e-02	4.799057e-02	9.061956e-01
234           	1.563503e-01	2.792494e-02	4.787794e-02	9.061974e-01
235           	1.530313e-01	2.784066e-02	4.749796e-02	9.061992e-01
